original_Name,original_Address,original_City,original_State,lat,lon,formatted,suburb,housenumber,name,street,postcode,district,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
TA TROUTDALE #5060,1-84 Exit 17,Troutdale,OR,45.5317928,-122.391155,"Troutdale, OR 97060, United States of America",,,,,97060,,Troutdale,Multnomah County,Oregon,OR,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
LOVE'S #449,1-84 Exit 17,Troutdale,OR,45.5317928,-122.391155,"Troutdale, OR 97060, United States of America",,,,,97060,,Troutdale,Multnomah County,Oregon,OR,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
FLYING J CARDLOCK #842,1511 Ross Ave E,Regina,SK,50.465847,-104.567691,"1511 Ross Avenue E, Regina, SK S4S 2C1, Canada",Ross Industrial Park,1511,,Ross Avenue E,S4S 2C1,,Regina,Division No. 6,Saskatchewan,SK,Canada,ca,0.9,1,1,,,
FLYING J #712,1-20 Exit 70,Columbia,SC,34.0646966,-81.0235148,"Flying J, Buckner Road, Columbia, SC 29203, United States of America",Eau Claire,,Flying J,Buckner Road,29203,,Columbia,Richland County,South Carolina,SC,United States,us,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
PILOT TRAVEL CENTER #1082,1-526 Exit 19,N. Charleston,SC,32.8546197,-79.9748103,"North Charleston, SC, United States of America",,,,,,,North Charleston,Charleston County,South Carolina,SC,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
LOVE'S #429,1-65 Exit 87,Nashville,TN,36.1622767,-86.7742984,"Nashville, TN, United States of America",,,,,,,Nashville,Davidson County,Tennessee,TN,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TA NASHVILLE #5041,1-24 Exit 48,Nashville,TN,36.1622767,-86.7742984,"Nashville, TN, United States of America",,,,,,,Nashville,Davidson County,Tennessee,TN,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
LOVE'S #344,1-240 Exit 21 at Hwy 78,Memphis,TN,35.1460249,-90.0517638,"Memphis, TN, United States of America",,,,,,,Memphis,Shelby County,Tennessee,TN,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
PILOT TRAVEL CENTER #413,Hwy 155 Exit 26,Nashville,TN,36.1622767,-86.7742984,"Nashville, TN, United States of America",,,,,,,Nashville,Davidson County,Tennessee,TN,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
PILOT TRAVEL CENTER #404,1-24 Exit 81,Murfreesboro,TN,35.8460396,-86.3921096,"Murfreesboro, TN, United States of America",,,,,,,Murfreesboro,Rutherford County,Tennessee,TN,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
FLYING J #729,1-45 Exit 64 & Richey Rd,Houston,TX,29.7589382,-95.3676974,"Houston, TX, United States of America",,,,,,,Houston,Harris County,Texas,TX,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
LOVE'S #913,1-20 Exit 472,Dallas,TX,32.7762719,-96.7968559,"Dallas, TX, United States of America",,,,,,,Dallas,Dallas County,Texas,TX,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TA DALLAS SOUTH #5078,1-20 & 1-635 Exit 472,Dallas,TX,32.7762719,-96.7968559,"Dallas, TX, United States of America",,,,,,,Dallas,Dallas County,Texas,TX,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
LOVE'S #315,Loop 610 Exit 24,Houston,TX,29.7589382,-95.3676974,"Houston, TX, United States of America",,,,,,,Houston,Harris County,Texas,TX,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
PILOT TRAVEL CENTER #375,1-610 & US 90E Exit 24A,Houston,TX,29.7589382,-95.3676974,"Houston, TX, United States of America",,,,,,,Houston,Harris County,Texas,TX,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
LOVE'S #294,1-20 Exit 466,Dallas,TX,32.7762719,-96.7968559,"Dallas, TX, United States of America",,,,,,,Dallas,Dallas County,Texas,TX,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
FLYING J #726,1-20 Exit 472,Dallas,TX,32.6572148,-96.7520918526082,"Flying J - Dallas, Dallas, TX, United States of America",Flying J - Dallas,,Flying J - Dallas,Flying J - Dallas,,,Dallas,Dallas County,Texas,TX,United States,us,0.45,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
FLYING J #727,Hwy 281 & FM 1925,Edinburg,TX,26.33591155,-98.1436791934583,"Flying J, East Monte Cristo Road, Edinburg, TX 78542, United States of America",,,Flying J,East Monte Cristo Road,78542,,Edinburg,Hidalgo County,Texas,TX,United States,us,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
LOVE'S #419,1-45 Exit 50,Houston,TX,29.7589382,-95.3676974,"Houston, TX, United States of America",,,,,,,Houston,Harris County,Texas,TX,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
PILOT TRAVEL CENTER #433,1-20 Exit 470,Dallas,TX,32.7762719,-96.7968559,"Dallas, TX, United States of America",,,,,,,Dallas,Dallas County,Texas,TX,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
LOVE'S #927,Hwy 12 Loop Exit Grauwyler Rd,Irving,TX,32.8295183,-96.9442177,"Irving, TX, United States of America",,,Irving,,,,Irving,Dallas County,Texas,TX,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
FLYING J #1057,1305 Pasadena Freeway,Pasadena,TX,29.7124119,-95.1958356,"1305 Pasadena Freeway, Pasadena, TX, United States of America",,1305,,Pasadena Freeway,,,Pasadena,Harris County,Texas,TX,United States,us,0.9,1,1,,,
LOVE'S #327,Hwy 77 Exit FM 1898,Kingsville,TX,27.5158689,-97.856109,"Kingsville, TX 78363, United States of America",,,,,78363,,Kingsville,Kleberg County,Texas,TX,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
LOVE'S #946,1-10 Exit 583,San Antonio,TX,29.4246002,-98.4951405,"San Antonio, TX, United States of America",,,,,,,San Antonio,Bexar County,Texas,TX,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
PETRO SAN ANTONIO #6305,1-10 Exit 581 at Ackerman Rd,San Antonio,TX,29.4373181,-98.37927228429376,"Petro Stopping Center, 1112 Ackerman Road, San Antonio, TX 78219, United States of America",,1112,Petro Stopping Center,Ackerman Road,78219,,San Antonio,Bexar County,Texas,TX,United States,us,0.0625,1,0.125,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
FLYING J #746,1-15 & 1-80 SR201 Exit 17,Salt Lake City,UT,40.7596198,-111.886797,"Salt Lake City, UT, United States of America",,,,,,,Salt Lake City,Salt Lake County,Utah,UT,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
LOVE'S #436,1-80 Exit 118,Salt Lake City,UT,40.744212,-111.677235,"Exit 134 I-80, Salt Lake City, UT 84109, United States of America",,Exit 134,,I-80,84109,,Salt Lake City,Salt Lake County,Utah,UT,United States,us,0.35720999999999997,1,0.3969,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
LOVE'S #448,1-5 Exit 136,Tacoma,WA,47.2455013,-122.438329,"Tacoma, WA, United States of America",,,,,,,Tacoma,Pierce County,Washington,WA,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
FLYING J BROADWAY #970,2216 E Hillsboro Rd,Pasco,WA,46.262561,-119.083439,"2216 East Hillsboro Road, Pasco, WA, United States of America",,2216,,East Hillsboro Road,,,Pasco,Franklin County,Washington,WA,United States,us,0.9,1,1,© OpenAddresses contributors,BSD-3-Clause License,
